Year,Title,Artist,Label/Distributor,Genre,Songwriters,NoProducers,Number of Band Members,Producers,Female-fronted?,Released/Distributed,Number of tracks,Origin,Songwriter Credits
2006,Tea and Sympathy,Bernard Fanning,Dew Process/Universal,Alternative rock,1,2,1,"Tchad Blake, Bernard Fanning",Not female-fronted,Released independently and distributed by a major label,14,Queensland,Bernard Fanning
2007,Young Modern,Silverchair,Eleven/Universal,Alternative rock,2,2,3,"Daniel Johns, Nick Launay",Not female-fronted,Released independently and distributed by a major label,11,New South Wales,"Daniel Johns, Julian Hamilton"
2008,Apocalypso,The Presets,Modular/Universal,Electronic,2,2,2,The Presets,Not female-fronted,Released and distributed on a major label,11,New South Wales,"Julian Hamilton, Kim Moyes"
2009,Walking On A Dream,Empire of the Sun,EMI/Universal,Electronic,4,4,2,"Luke Steele, Nick Littlemore, Peter Mayes, Jonathan Sloan",Not female-fronted,Released and distributed on a major label,10,New South Wales,"Luke Steele, Nick Littlemore, Peter Mayes, Jonathan Sloan"
2010,Down The Way,Angus & Julia Stone,EMI/Universal,Folk/Country,2,5,2,"Angus Stone, Julia Stone, Brad Albetta, Keiran Kelly, Govinda Doyle",Female-fronted,Released and distributed on a major label,13,New South Wales,"Angus Stone, Julia Stone"
2011,Moonfire,Boy & Bear,Island/Universal,Alternative rock,5,6,5,"Boy & Bear (5), Joe Chiccarelli",Not female-fronted,Released and distributed on a major label,11,New South Wales,"David Hosking, Tim Hart, Jonathan Hart, Jacob Tarasenko, Killian Gavin"
2012,Making Mirrors,Gotye,Samples'n'Seconds/Eleven/Universal,Alternative rock,2,1,1,Wally de Backer,Not female-fronted,Released independently and distributed by a major label,12,Victoria,"Wally de Backer, Luiz Bonfa"
2013,Lonerism,Tame Impala,Modular,Alternative rock,2,1,1,Kevin Parker,Not female-fronted,Released and distributed on a major label,12,Western Australia,"Kevin Parker, Jay Watson"
2014,1000 Forms Of Fear,Sia,Monkey Puzzle/Inertia,Pop,11,4,1,"Jesse Shatkin, Greg Kurstin, Chris Braide, Diplo",Female-fronted,Released and distributed independently,12,South Australia,"Sia Furler, Jesse Shatkin, Christopher Braide, Greg Kurstin, Nick Valensi, Justin Parker, Thomas Pentz, Andrew Swanson, Jasper Leak, Samuel Dixon, Grant Michaels"
2015,Currents,Tame Impala,Modular/Universal,Alternative rock,1,1,1,Kevin Parker,Not female-fronted,Released and distributed on a major label,13,Western Australia,Kevin Parker
2016,Skin,Flume,Future Classic,Electronic,19,1,1,Harley Streten,Not female-fronted,Released and distributed independently,16,New South Wales,"Harley Streten, Alessia De Gasperis-Brigante, Geoffrey Earley, Victor Mensah, Laura Jane Lowther, Ebba Nilson, Daniel Johns, Will Johnson, Vince Staples, Corey Woods, Allan Kyariga, Yukimi Nagano, Erik Bodin, Fredrik Wallin, Hakan Wirenstrand, Aluna Francis, Amanda Warner, Peter Wade Keusch, Beck Hansen"
2017,Go Farther In Lightness,Gang Of Youths,Mosy/Sony,Alternative rock,1,6,5,"Adrian Breakspear, Gang of Youths (5)",Not female-fronted,Released independently and distributed by a major label,16,New South Wales,David Le'aupepe
2018,Love Monster,Amy Shark,Wonderlick/Sony,Pop,6,7,1,"Dann Hume, M-Phazes, Jack Antonoff, CamBluff, Joel Little, Edwin White, Mark Hoppus",Female-fronted,Released and distributed on a major label,14,Queensland,"Amy Billings, Mark Landon, Jack Antonoff, Joel Little, Mark Hoppus, Blake Malone"
2019,A Place We Knew,Dean Lewis,Island/Universal,Pop,7,6,1,"Dann Hume, Dylan Nash, Edd Holloway, John Castle, Nicholas Atkinson, Steve Solomon",Not female-fronted,Released and distributed on a major label,12,New South Wales,"Dean Lewis, Nicholas Atkinson, Edd Holloway, Neil Ormandy, Steve Solomon, Jonathan Hume, Hayley Warner"
2020,The Slow Rush,Tame Impala,Modular/Island/Universal,Alternative rock,1,1,1,Kevin Parker,Not female-fronted,Released and distributed on a major label,12,Western Australia,Kevin Parker
